era,channel,process,total,no_candidate,candidates,fail_msd,pass_msd,efficiency,efficiency_err
Run3_2022,e,TT,77554.6,66473.3,11081.2,0,11081.2,1,0
Run3_2022,e,DY,17649.5,17473.2,176.249,0,176.249,1,0
Run3_2022,e,ST,10236.6,9442.02,794.579,0,794.579,1,0
Run3_2022,e,VV,3942.4,3893.87,48.5323,0,48.5323,1,0
Run3_2022,e,W,202415,202036,378.271,0,378.271,1,0
Run3_2022,e,SingleHiggs,351.592,314.698,36.8938,0,36.8938,1,0
Run3_2022,e,Data_Full,327470,317064,10406,0,10406,1,0
Run3_2022,mu,TT,100776,91227.5,9548.23,0,9548.23,1,0
Run3_2022,mu,DY,21259.9,21036.2,223.7,0,223.7,1,0
Run3_2022,mu,ST,13782.4,13101.2,681.199,0,681.199,1,0
Run3_2022,mu,VV,4984.02,4924.77,59.2419,0,59.2419,1,0
Run3_2022,mu,W,255572,255101,470.511,0,470.511,1,0
Run3_2022,mu,SingleHiggs,456.117,419.768,36.3482,0,36.3482,1,0
Run3_2022,mu,Data_Full,352552,343249,9303,0,9303,1,0
Run3_2022,eE,TT,2080.33,2052.81,27.5221,0,27.5221,1,0
Run3_2022,eE,DY,19379.8,19353.3,26.4546,0,26.4546,1,0
Run3_2022,eE,ST,189.376,185.475,3.90088,0,3.90088,1,0
Run3_2022,eE,VV,428.45,424.751,3.69811,0,3.69811,1,0
Run3_2022,eE,W,31.9551,33.3985,-1.4434,0,-1.4434,nan,nan
Run3_2022,eE,SingleHiggs,45.2424,43.0883,2.15404,0,2.15404,1,0
Run3_2022,eE,Data_Full,19786,19730,56,0,56,1,0
Run3_2022,eMu,TT,5143.36,5069.8,73.5584,0,73.5584,1,0
Run3_2022,eMu,DY,362.98,362.335,0.645462,0,0.645462,1,0
Run3_2022,eMu,ST,474.94,465.868,9.07237,0,9.07237,1,0
Run3_2022,eMu,VV,280.324,279.974,0.350163,0,0.350163,1,0
Run3_2022,eMu,W,46.3809,46.3809,0,0,0,nan,nan
Run3_2022,eMu,SingleHiggs,80.3864,78.4495,1.93691,0,1.93691,1,0
Run3_2022,eMu,Data_Full,6050,5993,57,0,57,1,0
Run3_2022,muMu,TT,3209.24,3165.41,43.8268,0,43.8268,1,0
Run3_2022,muMu,DY,29839.9,29790,49.9323,0,49.9323,1,0
Run3_2022,muMu,ST,298.847,293.727,5.11944,0,5.11944,1,0
Run3_2022,muMu,VV,722.816,716.285,6.53171,0,6.53171,1,0
Run3_2022,muMu,W,20.1116,20.1116,0,0,0,nan,nan
Run3_2022,muMu,SingleHiggs,71.3847,67.8058,3.57887,0,3.57887,1,0
Run3_2022,muMu,Data_Full,30285,30193,92,0,92,1,0
Run3_2022EE,e,TT,236932,202602,34329.8,0,34329.8,1,0
Run3_2022EE,e,DY,54978,54412.5,565.537,0,565.537,1,0
Run3_2022EE,e,ST,31449.3,28995,2454.29,0,2454.29,1,0
Run3_2022EE,e,VV,12354.8,12200.9,153.853,0,153.853,1,0
Run3_2022EE,e,W,631756,630583,1173.68,0,1173.68,1,0
Run3_2022EE,e,SingleHiggs,1103.63,992.392,111.234,0,111.234,1,0
