# msoftdrop closure: fatbjet_msoftdrop in <channel>/OS_Iso/baseline_boosted, threshold 30
# input: /eos/user/d/daebi/HH_bbWW/v2605a_msoftdrop/Hists_merged
# eras: Run3_2022, Run3_2022EE, Run3_2023, Run3_2023BPix

# ============ Cut efficiency [%] per era ============
# efficiency = N(msd>30) / nTotalEvents in baseline_boosted

## channel e
| Process     | Run3_2022 | Run3_2022EE | Run3_2023 | Run3_2023BPix | All eras |
|-------------|-----------|-------------|-----------|---------------|----------|
| TT          | 14.29     | 14.49       | 13.78     | 13.50         | 14.10    |
| DY          | 1.00      | 1.03        | 0.68      | 0.64          | 0.86     |
| ST          | 7.76      | 7.80        | 7.35      | 7.11          | 7.55     |
| VV          | 1.23      | 1.25        | 1.16      | 1.19          | 1.21     |
| W           | 0.19      | 0.19        | 0.17      | 0.18          | 0.18     |
| SingleHiggs | 10.49     | 10.08       | 9.59      | 9.88          | 9.96     |
| Data_Full   | 3.18      | 3.23        | 3.25      | 3.07          | 3.20     |
| Total MC    | 4.01      | 4.00        | 3.71      | 3.68          | 3.87     |
| Data/MC     | 0.7925    | 0.8055      | 0.8763    | 0.8338        | 0.8282   |

## channel mu
| Process     | Run3_2022 | Run3_2022EE | Run3_2023 | Run3_2023BPix | All eras |
|-------------|-----------|-------------|-----------|---------------|----------|
| TT          | 9.47      | 9.68        | 8.95      | 8.79          | 9.30     |
| DY          | 1.05      | 0.90        | 0.76      | 0.78          | 0.86     |
| ST          | 4.94      | 5.03        | 4.72      | 4.59          | 4.86     |
| VV          | 1.19      | 1.25        | 1.18      | 1.17          | 1.21     |
| W           | 0.18      | 0.19        | 0.17      | 0.17          | 0.18     |
| SingleHiggs | 7.97      | 8.70        | 8.61      | 8.00          | 8.47     |
| Data_Full   | 2.64      | 2.78        | 2.75      | 2.58          | 2.72     |
| Total MC    | 2.78      | 2.80        | 2.57      | 2.53          | 2.69     |
| Data/MC     | 0.9503    | 0.9932      | 1.0683    | 1.0194        | 1.0121   |

## channel eE
| Process     | Run3_2022 | Run3_2022EE | Run3_2023 | Run3_2023BPix | All eras |
|-------------|-----------|-------------|-----------|---------------|----------|
| TT          | 1.32      | 1.43        | 1.22      | 1.19          | 1.31     |
| DY          | 0.14      | 0.13        | 0.14      | 0.14          | 0.14     |
| ST          | 2.06      | 2.02        | 1.88      | 1.67          | 1.93     |
| VV          | 0.86      | 0.92        | 0.89      | 0.85          | 0.89     |
| W           | -4.52     | 1.34        | 0.00      | 0.00          | 0.04     |
| SingleHiggs | 4.76      | 5.48        | 4.95      | 4.56          | 5.06     |
| Data_Full   | 0.28      | 0.39        | 0.31      | 0.26          | 0.33     |
| Total MC    | 0.28      | 0.29        | 0.28      | 0.28          | 0.29     |
| Data/MC     | 1.0067    | 1.3281      | 1.0836    | 0.9154        | 1.1472   |

## channel eMu
| Process     | Run3_2022 | Run3_2022EE | Run3_2023 | Run3_2023BPix | All eras |
|-------------|-----------|-------------|-----------|---------------|----------|
| TT          | 1.43      | 1.46        | 1.27      | 1.29          | 1.37     |
| DY          | 0.18      | 0.17        | 0.22      | 0.02          | 0.16     |
| ST          | 1.91      | 1.97        | 1.75      | 1.71          | 1.85     |
| VV          | 0.12      | 0.13        | 0.10      | 0.09          | 0.11     |
| W           | 0.00      | 0.31        | -1.26     | 0.00          | -0.35    |
| SingleHiggs | 2.41      | 2.06        | 1.81      | 2.08          | 2.03     |
| Data_Full   | 0.94      | 1.48        | 1.11      | 1.11          | 1.23     |
| Total MC    | 1.34      | 1.36        | 1.17      | 1.19          | 1.27     |
| Data/MC     | 0.7034    | 1.0875      | 0.9473    | 0.9313        | 0.9689   |

## channel muMu
| Process     | Run3_2022 | Run3_2022EE | Run3_2023 | Run3_2023BPix | All eras |
|-------------|-----------|-------------|-----------|---------------|----------|
| TT          | 1.37      | 1.48        | 1.30      | 1.28          | 1.38     |
| DY          | 0.17      | 0.13        | 0.12      | 0.12          | 0.13     |
| ST          | 1.71      | 1.98        | 1.66      | 1.73          | 1.81     |
| VV          | 0.90      | 0.91        | 0.84      | 0.84          | 0.88     |
| W           | 0.00      | -1.82       | 0.00      | 0.00          | -0.89    |
| SingleHiggs | 5.01      | 5.33        | 4.83      | 4.90          | 5.06     |
| Data_Full   | 0.30      | 0.35        | 0.39      | 0.35          | 0.36     |
| Total MC    | 0.32      | 0.30        | 0.27      | 0.28          | 0.29     |
| Data/MC     | 0.9522    | 1.1844      | 1.4358    | 1.2323        | 1.2300   |

# ============ Yields, all eras summed ============

## channel e
| Process     | nTotalEvents | msd<30    | msd>30   | eff [%]          | 0<msd<30 |
|-------------|--------------|-----------|----------|------------------|----------|
| TT          | 577534.5     | 496120.6  | 81413.90 | 14.10 +- 0.01    | 0        |
| DY          | 131527.3     | 130393.1  | 1134.24  | 0.86 +- 0.03     | 0        |
| ST          | 76398.4      | 70626.8   | 5771.55  | 7.55 +- 0.05     | 0        |
| VV          | 30128.0      | 29763.8   | 364.21   | 1.21 +- 0.01     | 0        |
| W           | 1554988.6    | 1552201.7 | 2786.93  | 0.18 +- 0.01     | 0        |
| SingleHiggs | 2680.3       | 2413.5    | 266.84   | 9.96 +- 0.25     | 0        |
| Data_Full   | 2508648.0    | 2428333.0 | 80315.00 | 3.20 +- 0.01     | 0        |
| Total MC    | 2373257.2    | 2281519.5 | 91737.66 | 3.87 +- 0.02     | 0        |
| Data/MC eff |              |           |          | 0.8282 +- 0.0049 |          |

## channel mu
| Process     | nTotalEvents | msd<30    | msd>30   | eff [%]          | 0<msd<30 |
|-------------|--------------|-----------|----------|------------------|----------|
| TT          | 770793.2     | 699137.5  | 71655.73 | 9.30 +- 0.01     | 0        |
| DY          | 158838.0     | 157471.2  | 1366.75  | 0.86 +- 0.03     | 0        |
| ST          | 106597.5     | 101418.7  | 5178.74  | 4.86 +- 0.04     | 0        |
| VV          | 38831.3      | 38362.1   | 469.20   | 1.21 +- 0.01     | 0        |
| W           | 1995064.4    | 1991469.2 | 3595.18  | 0.18 +- 0.01     | 0        |
| SingleHiggs | 3570.0       | 3267.6    | 302.40   | 8.47 +- 0.20     | 0        |
| Data_Full   | 2842010.0    | 2764743.0 | 77267.00 | 2.72 +- 0.01     | 0        |
| Total MC    | 3073694.4    | 2991126.4 | 82568.00 | 2.69 +- 0.01     | 0        |
| Data/MC eff |              |           |          | 1.0121 +- 0.0065 |          |

## channel eE
| Process     | nTotalEvents | msd<30   | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|----------|--------|------------------|----------|
| TT          | 15083.9      | 14886.1  | 197.77 | 1.31 +- 0.02     | 0        |
| DY          | 140423.3     | 140232.7 | 190.54 | 0.14 +- 0.01     | 0        |
| ST          | 1389.4       | 1362.6   | 26.80  | 1.93 +- 0.06     | 0        |
| VV          | 3198.5       | 3170.0   | 28.50  | 0.89 +- 0.02     | 0        |
| W           | 255.4        | 255.3    | 0.10   | 0.04 +- 0.20     | 0        |
| SingleHiggs | 309.3        | 293.6    | 15.65  | 5.06 +- 0.43     | 0        |
| Data_Full   | 141462.0     | 140998.0 | 464.00 | 0.33 +- 0.02     | 0        |
| Total MC    | 160659.8     | 160200.4 | 459.36 | 0.29 +- 0.01     | 0        |
| Data/MC eff |              |          |        | 1.1472 +- 0.0645 |          |

## channel eMu
| Process     | nTotalEvents | msd<30  | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|---------|--------|------------------|----------|
| TT          | 37887.1      | 37369.1 | 518.03 | 1.37 +- 0.01     | 0        |
| DY          | 2716.0       | 2711.6  | 4.43   | 0.16 +- 0.04     | 0        |
| ST          | 3485.8       | 3421.3  | 64.59  | 1.85 +- 0.04     | 0        |
| VV          | 2100.7       | 2098.3  | 2.36   | 0.11 +- 0.01     | 0        |
| W           | 397.7        | 399.1   | -1.38  | -0.35 +- 0.00    | 0        |
| SingleHiggs | 591.4        | 579.4   | 12.01  | 2.03 +- 0.22     | 0        |
| Data_Full   | 44228.0      | 43683.0 | 545.00 | 1.23 +- 0.05     | 0        |
| Total MC    | 47178.8      | 46578.7 | 600.03 | 1.27 +- 0.02     | 0        |
| Data/MC eff |              |         |        | 0.9689 +- 0.0429 |          |

## channel muMu
| Process     | nTotalEvents | msd<30   | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|----------|--------|------------------|----------|
| TT          | 24304.7      | 23970.0  | 334.69 | 1.38 +- 0.02     | 0        |
| DY          | 221781.7     | 221491.1 | 290.56 | 0.13 +- 0.01     | 0        |
| ST          | 2235.8       | 2195.4   | 40.37  | 1.81 +- 0.05     | 0        |
| VV          | 5512.6       | 5464.2   | 48.44  | 0.88 +- 0.02     | 0        |
| W           | 162.0        | 163.4    | -1.45  | -0.89 +- 0.00    | 0        |
| SingleHiggs | 534.5        | 507.5    | 27.06  | 5.06 +- 0.31     | 0        |
| Data_Full   | 233617.0     | 232782.0 | 835.00 | 0.36 +- 0.01     | 0        |
| Total MC    | 254531.3     | 253791.6 | 739.66 | 0.29 +- 0.01     | 0        |
| Data/MC eff |              |          |        | 1.2300 +- 0.0555 |          |

# ============ Yields per era ============

## Run3_2022 - channel e
| Process     | nTotalEvents | msd<30   | msd>30   | eff [%]          | 0<msd<30 |
|-------------|--------------|----------|----------|------------------|----------|
| TT          | 77554.6      | 66473.3  | 11081.25 | 14.29 +- 0.03    | 0        |
| DY          | 17649.5      | 17473.2  | 176.25   | 1.00 +- 0.07     | 0        |
| ST          | 10236.6      | 9442.0   | 794.58   | 7.76 +- 0.13     | 0        |
| VV          | 3942.4       | 3893.9   | 48.53    | 1.23 +- 0.02     | 0        |
| W           | 202414.7     | 202036.4 | 378.27   | 0.19 +- 0.02     | 0        |
| SingleHiggs | 351.6        | 314.7    | 36.89    | 10.49 +- 0.65    | 0        |
| Data_Full   | 327470.0     | 317064.0 | 10406.00 | 3.18 +- 0.03     | 0        |
| Total MC    | 312149.3     | 299633.5 | 12515.77 | 4.01 +- 0.05     | 0        |
| Data/MC eff |              |          |          | 0.7925 +- 0.0120 |          |

## Run3_2022 - channel mu
| Process     | nTotalEvents | msd<30   | msd>30   | eff [%]          | 0<msd<30 |
|-------------|--------------|----------|----------|------------------|----------|
| TT          | 100775.7     | 91227.5  | 9548.23  | 9.47 +- 0.03     | 0        |
| DY          | 21259.9      | 21036.2  | 223.70   | 1.05 +- 0.08     | 0        |
| ST          | 13782.4      | 13101.2  | 681.20   | 4.94 +- 0.09     | 0        |
| VV          | 4984.0       | 4924.8   | 59.24    | 1.19 +- 0.02     | 0        |
| W           | 255572.0     | 255101.5 | 470.51   | 0.18 +- 0.02     | 0        |
| SingleHiggs | 456.1        | 419.8    | 36.35    | 7.97 +- 0.52     | 0        |
| Data_Full   | 352552.0     | 343249.0 | 9303.00  | 2.64 +- 0.03     | 0        |
| Total MC    | 396830.0     | 385810.8 | 11019.23 | 2.78 +- 0.05     | 0        |
| Data/MC eff |              |          |          | 0.9503 +- 0.0189 |          |

## Run3_2022 - channel eE
| Process     | nTotalEvents | msd<30  | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|---------|--------|------------------|----------|
| TT          | 2080.3       | 2052.8  | 27.52  | 1.32 +- 0.05     | 0        |
| DY          | 19379.8      | 19353.3 | 26.45  | 0.14 +- 0.02     | 0        |
| ST          | 189.4        | 185.5   | 3.90   | 2.06 +- 0.14     | 0        |
| VV          | 428.4        | 424.8   | 3.70   | 0.86 +- 0.05     | 0        |
| W           | 32.0         | 33.4    | -1.44  | -4.52 +- 0.00    | 0        |
| SingleHiggs | 45.2         | 43.1    | 2.15   | 4.76 +- 1.12     | 0        |
| Data_Full   | 19786.0      | 19730.0 | 56.00  | 0.28 +- 0.04     | 0        |
| Total MC    | 22155.1      | 22092.9 | 62.29  | 0.28 +- 0.02     | 0        |
| Data/MC eff |              |         |        | 1.0067 +- 0.1555 |          |

## Run3_2022 - channel eMu
| Process     | nTotalEvents | msd<30 | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|--------|--------|------------------|----------|
| TT          | 5143.4       | 5069.8 | 73.56  | 1.43 +- 0.03     | 0        |
| DY          | 363.0        | 362.3  | 0.65   | 0.18 +- 0.09     | 0        |
| ST          | 474.9        | 465.9  | 9.07   | 1.91 +- 0.11     | 0        |
| VV          | 280.3        | 280.0  | 0.35   | 0.12 +- 0.03     | 0        |
| W           | 46.4         | 46.4   | 0.00   | 0.00 +- 0.00     | 0        |
| SingleHiggs | 80.4         | 78.4   | 1.94   | 2.41 +- 0.63     | 0        |
| Data_Full   | 6050.0       | 5993.0 | 57.00  | 0.94 +- 0.12     | 0        |
| Total MC    | 6388.4       | 6302.8 | 85.56  | 1.34 +- 0.04     | 0        |
| Data/MC eff |              |        |        | 0.7034 +- 0.0948 |          |

## Run3_2022 - channel muMu
| Process     | nTotalEvents | msd<30  | msd>30 | eff [%]          | 0<msd<30 |
|-------------|--------------|---------|--------|------------------|----------|
